x,y,z,Bx,By,Bz,magnitude
44.8,-16.5,-65,-1.463925618,0.471753195,-0.554262997,1.634881268
40.8,-16.5,-65,-1.403238094,0.471915027,-0.931818432,1.749304585
36.8,-16.5,-65,-1.269887487,0.456217311,-1.222794044,1.820981532
32.8,-16.5,-65,-1.101095605,0.428220353,-1.427027599,1.8526176
28.8,-16.5,-65,-0.932465763,0.403945535,-1.566689903,1.867399702
24.8,-16.5,-65,-0.773707895,0.381936367,-1.653109082,1.864743664
20.8,-16.5,-65,-0.626278442,0.364296666,-1.712340248,1.85931328
16.8,-16.5,-65,-0.502476624,0.34778979,-1.751989547,1.855507442
12.8,-16.5,-65,-0.384015337,0.340992841,-1.775779134,1.848549548
8.8,-16.5,-65,-0.272189224,0.335652382,-1.794875542,1.846165676
4.8,-16.5,-65,-0.163599794,0.333386732,-1.804585581,1.842400805
0.8,-16.5,-65,-0.057599707,0.33629971,-1.812839115,1.84466823
-3.2,-16.5,-65,0.049371351,0.340345513,-1.818017804,1.850259802
-7.2,-16.5,-65,0.157960714,0.349084447,-1.818017804,1.85795594
-11.2,-16.5,-65,0.273670681,0.362354681,-1.816075795,1.871985003
-15.2,-16.5,-65,0.392293623,0.379994382,-1.806365755,1.88712672
-19.2,-16.5,-65,0.522892148,0.400547061,-1.787916681,1.905387153
-23.2,-16.5,-65,0.664495278,0.429029514,-1.756359062,1.926244391
-27.2,-16.5,-65,0.82616564,0.461881435,-1.703439388,1.948740586
-31.2,-16.5,-65,1.006770451,0.498940992,-1.612003321,1.96496401
-35.2,-16.5,-65,1.20679527,0.540693683,-1.459879782,1.969759747
-39.2,-16.5,-65,1.406496608,0.576458586,-1.22360321,1.951343646
-43.2,-16.5,-65,1.558457499,0.586330347,-0.864981513,1.876370451
44.8,-12.5,-65,-1.475577626,0.310730236,-0.688260295,1.657584038
40.8,-12.5,-65,-1.389158593,0.300858476,-1.043483084,1.763273764
36.8,-12.5,-65,-1.23816819,0.285646258,-1.306299956,1.822381362
32.8,-12.5,-65,-1.066948855,0.266064571,-1.484802134,1.847649207
28.8,-12.5,-65,-0.896215227,0.249557695,-1.604235305,1.854468034
24.8,-12.5,-65,-0.743607031,0.235963797,-1.680620821,1.85286715
20.8,-12.5,-65,-0.605078387,0.22544471,-1.730627474,1.847164482
16.8,-12.5,-65,-0.480791084,0.216058447,-1.762508751,1.839640839
12.8,-12.5,-65,-0.365728286,0.212012644,-1.782899828,1.832331394
8.8,-12.5,-65,-0.255196837,0.211203483,-1.797788553,1.828052521
4.8,-12.5,-65,-0.150329552,0.213307301,-1.806527589,1.82527831
0.8,-12.5,-65,-0.042872979,0.215249286,-1.814295621,1.827522626
-3.2,-12.5,-65,0.059404944,0.220589746,-1.817208634,1.831511944
-7.2,-12.5,-65,0.16524316,0.232565323,-1.818503306,1.8407461
-11.2,-12.5,-65,0.275612666,0.242760746,-1.813486451,1.850304902
-15.2,-12.5,-65,0.392940951,0.260238615,-1.805880253,1.866368189
-19.2,-12.5,-65,0.519817337,0.277554652,-1.791800696,1.886212179
-23.2,-12.5,-65,0.659154817,0.30263863,-1.766230932,1.909357723
-27.2,-12.5,-65,0.816617539,0.332739403,-1.718489934,1.931524623
-31.2,-12.5,-65,0.987188741,0.364296666,-1.641942555,1.95018692
-35.2,-12.5,-65,1.189479199,0.403945535,-1.509562658,1.963876824
-39.2,-12.5,-65,1.390313348,0.436959288,-1.300635793,1.953345359
-43.2,-12.5,-65,1.561046823,0.456864639,-0.976646116,1.897216413
44.8,-8.5,-65,-1.487067802,0.172687438,-0.757039136,1.67758751
40.8,-8.5,-65,-1.384465426,0.157475218,-1.098829943,1.774533799
36.8,-8.5,-65,-1.215511555,0.139026355,-1.358572097,1.82825458
32.8,-8.5,-65,-1.042188421,0.12575612,-1.517978001,1.845597063
28.8,-8.5,-65,-0.872263985,0.116208025,-1.627053853,1.849771069
24.8,-8.5,-65,-0.724834452,0.10827825,-1.693729359,1.845488635
20.8,-8.5,-65,-0.587438648,0.103099622,-1.737909998,1.83740166
16.8,-8.5,-65,-0.465093343,0.099377483,-1.766069098,1.828985445
12.8,-8.5,-65,-0.350677881,0.099377483,-1.786945677,1.823739486
8.8,-8.5,-65,-0.244354077,0.102775957,-1.798435889,1.817867833
4.8,-8.5,-65,-0.139648627,0.103261454,-1.807822261,1.816145918
0.8,-8.5,-65,-0.038989007,0.106983593,-1.812839115,1.816411652
-3.2,-8.5,-65,0.064098076,0.113780543,-1.814619289,1.819312436
