x,y,z,Bx,By,Bz,magnitude
0,0,52,0.009075145,-0.080579876,-1.199975578,1.202712294
0,0,53,0.009560642,-0.082845527,-1.237844524,1.240650577
0,0,54,0.009075145,-0.086405835,-1.277817313,1.280767509
0,0,55,0.009236977,-0.089642479,-1.319570281,1.322643875
0,0,56,0.008751481,-0.091098968,-1.360028596,1.363104322
0,0,57,0.009075145,-0.094821109,-1.405665594,1.408889337
0,0,58,0.009075145,-0.097572256,-1.447580441,1.450893462
0,0,59,0.009560642,-0.100970732,-1.492570141,1.496012072
0,0,60,0.011340795,-0.103883711,-1.536912525,1.540461148
0,0,61,0.009884306,-0.106634858,-1.578827424,1.582455284
0,0,62,0.01020797,-0.110033334,-1.62689202,1.630640727
0,0,63,0.011340795,-0.114079139,-1.674956639,1.67887534
0,0,64,0.010693467,-0.116830287,-1.722373947,1.726364874
0,0,65,0.01166446,-0.120228763,-1.76946761,1.773585814
