x,y,z,Bx,By,Bz,magnitude
44.8,-16.5,35.0,0.2921195421961643,-0.11521196468502308,-0.23432047726744618,0.3918082564294982
40.8,-16.5,35.0,0.29325236701346236,-0.12848220484754974,-0.29177092863052817,0.4331684458907492
36.8,-16.5,35.0,0.28176228671502224,-0.14029595557685082,-0.34760306735714613,0.4689358525450968
32.8,-16.5,35.0,0.26833022098269316,-0.15178604221889525,-0.4003604024660554,0.5053004670172778
28.8,-16.5,35.0,0.248263038353877,-0.16165780705379376,-0.452470418431967,0.5408301603554849
24.8,-16.5,35.0,0.21994241745414125,-0.16877842446109573,-0.4971361549656197,0.5692145290952632
20.8,-16.5,35.0,0.18757599306783634,-0.1744425520349678,-0.5341957760468471,0.5924357216459442
16.8,-16.5,35.0,0.15407674308651845,-0.1804303441302341,-0.5639729431997152,0.6118498447368055
12.8,-16.5,35.0,0.11507519963232475,-0.18415248520880204,-0.5880859782465501,0.6268967675695889
8.8,-16.5,35.0,0.07510266174378086,-0.18657996854022252,-0.6049165546507838,0.6374766917715862
4.8,-16.5,35.0,0.0352919540063541,-0.18852195521639473,-0.6159211630274819,0.6450929612709512
0.8,-16.5,35.0,-0.007593567083233545,-0.18965478078204182,-0.6180249852833776,0.6465148726588206
-3.2,-16.5,35.0,-0.04610962260478089,-0.18884561966338012,-0.6147883356677598,0.6447894718711957
-7.2,-16.5,35.0,-0.0862440027532732,-0.18852195521639473,-0.6024890675867385,0.6371590320877955
-11.2,-16.5,35.0,-0.1247600642737721,-0.18560897520581857,-0.5838783343533691,0.6252436922047392
-15.2,-16.5,35.0,-0.16068681378073763,-0.1826959952172786,-0.5592798024601812,0.6099114495001193
-19.2,-16.5,35.0,-0.19402425085250238,-0.17832652527550744,-0.5269133172873356,0.5891378475963459
-23.2,-16.5,35.0,-0.22283038815433,-0.17201506877910186,-0.4896918649731424,0.5648368688329072
-27.2,-16.5,35.0,-0.24742888925054538,-0.16392345803333475,-0.4458352915910357,0.5355941211005111
-31.2,-16.5,35.0,-0.2679815855952278,-0.15405169314355807,-0.39841841449243537,0.5042650963384194
-35.2,-16.5,35.0,-0.2815754956872208,-0.14369443187475395,-0.34452825364977596,0.46758161542801996
-39.2,-16.5,35.0,-0.2883724509467049,-0.13268984205632472,-0.2877251218681735,0.42842853593568836
-43.2,-16.5,35.0,-0.2861067991775695,-0.12006693055188004,-0.23480597399876105,0.38911054184292015
