x,y,z,Bx,By,Bz,magnitude
44.8,-16.5,0,-0.00484242,-0.005975245,-0.159553988,0.159739249
40.8,-16.5,0,-0.005166085,-0.008079064,-0.182210499,0.182462669
36.8,-16.5,0,-0.004518756,-0.008240896,-0.206808997,0.207022445
32.8,-16.5,0,-0.005651581,-0.008402728,-0.228980013,0.229203823
28.8,-16.5,0,-0.006460742,-0.008402728,-0.25034187,0.250566156
24.8,-16.5,0,-0.007593567,-0.009211889,-0.270085405,0.270349121
20.8,-16.5,0,-0.007593567,-0.010344714,-0.287077793,0.287364463
16.8,-16.5,0,-0.007917231,-0.009373721,-0.302613691,0.302862337
12.8,-16.5,0,-0.009211889,-0.008402728,-0.314265615,0.314512864
8.8,-16.5,0,-0.007917231,-0.009535553,-0.324784714,0.325021106
4.8,-16.5,0,-0.008079064,-0.010182882,-0.330287012,0.330542694
0.8,-16.5,0,-0.008079064,-0.008888224,-0.332228999,0.332446055
-3.2,-16.5,0,-0.007431735,-0.008726392,-0.331905335,0.332103194
-7.2,-16.5,0,-0.007108071,-0.007755399,-0.326403037,0.326572524
-11.2,-16.5,0,-0.006946238,-0.008402728,-0.318311422,0.318498065
-15.2,-16.5,0,-0.005813413,-0.008726392,-0.307144995,0.307323923
-19.2,-16.5,0,-0.005651581,-0.006460742,-0.292741922,0.292867743
-23.2,-16.5,0,-0.004680588,-0.005813413,-0.276558695,0.276659386
-27.2,-16.5,0,-0.00403326,-0.004680588,-0.257786153,0.257860187
-31.2,-16.5,0,-0.002091274,-0.005327917,-0.237071625,0.237140709
-35.2,-16.5,0,-0.001443945,-0.004518756,-0.215386105,0.21543834
-39.2,-16.5,0,-0.000958449,-0.004195092,-0.191596767,0.191645085
-43.2,-16.5,0,-0.000796616,-0.002253106,-0.16991125,0.169928055
44.8,-12.5,-0.0,-0.003224098762405151,-0.00694623844109989,-0.16618910902563155,0.16636545615013837
40.8,-12.5,-0.0,-0.00435692387956798,-0.00694623844109989,-0.19078760635104838,0.1909637236527806
36.8,-12.5,-0.0,-0.005813413319053551,-0.008564560047752722,-0.2139296151511998,0.21417989565309384
32.8,-12.5,-0.0,-0.005327916838832502,-0.00921188869164668,-0.2391754446109058,0.23941206923614625
28.8,-12.5,-0.0,-0.005651581158936196,-0.009050056530607005,-0.26086096624694327,0.26107908304590793
24.8,-12.5,-0.0,-0.00694623844109989,-0.00921188869164668,-0.2806045020904233,0.28084158473267856
20.8,-12.5,-0.0,-0.0072699027620789225,-0.00953555301385854,-0.2993770454833933,0.2996170783180023
16.8,-12.5,-0.0,-0.008240895726070273,-0.010021049497507912,-0.3142656151775299,0.3145333220476183
12.8,-12.5,-0.0,-0.0074317349226342725,-0.009859217336247212,-0.3278595272683119,0.3280919146688083
8.8,-12.5,-0.0,-0.008079063565295098,-0.010344713820162143,-0.3367603033747351,0.33701600303421314
4.8,-12.5,-0.0,-0.008079063565295098,-0.010668378142993632,-0.34290993065888403,0.3431709575485295
0.8,-12.5,-0.0,-0.0072699027620789225,-0.009859217336247212,-0.34549924744860566,0.34571633695879384
-3.2,-12.5,-0.0,-0.007755399243876758,-0.010668378142993632,-0.3442045890508822,0.34445719564747157
-7.2,-12.5,-0.0,-0.006784406280676167,-0.00921188869164668,-0.339835117000769,0.3400276368308537
-11.2,-12.5,-0.0,-0.007108070601567468,-0.008402727886889472,-0.3312580053866917,0.3314407890353682
-15.2,-12.5,-0.0,-0.005004252518903353,-0.0074317349226342725,-0.3213862357205287,0.3215110973789933
-19.2,-12.5,-0.0,-0.00468058819914857,-0.008240895726070273,-0.3061740011247325,0.30632064774184853
-23.2,-12.5,-0.0,-0.003547763081377447,-0.007108070601567468,-0.2886961154864619,0.28880539881991646
-27.2,-12.5,-0.0,-0.004195091719842952,-0.00694623844109989,-0.26862891463446054,0.26875145171832426
-31.2,-12.5,-0.0,-0.0027386022842717864,-0.005327916838832502,-0.24710522475114996,0.2471778281716005
-35.2,-12.5,-0.0,-0.000634784216854643,-0.00468058819914857,-0.22558153621801394,0.22563098266721066
-39.2,-12.5,-0.0,-0.0009584485344446055,-0.00468058819914857,-0.20082120439579923,0.2008780293224288
-43.2,-12.5,-0.0,0.0004980408933568381,-0.003547763081377447,-0.1768700353057969,0.17690631434939477
44.8,-8.5,-0.0,-0.0033859309218696124,-0.00694623844109989,-0.17088224326479773,0.1710568789025972
40.8,-8.5,-0.0,-0.004033259560161408,-0.007593567083233545,-0.19515707643453709,0.19534639471002005
36.8,-8.5,-0.0,-0.005166084678846121,-0.008240895726070273,-0.22056473682362257,0.22077908398068613
32.8,-8.5,-0.0,-0.006460741959960197,-0.008402727886889472,-0.2451632377611828,0.2453922577673561
28.8,-8.5,-0.0,-0.004842420359004177,-0.009373720852730518,-0.2676579210760864,0.2678657842881967
24.8,-8.5,-0.0,-0.006784406280676167,-0.009859217336247212,-0.28853428321654245,0.2887823833379532
20.8,-8.5,-0.0,-0.006622574120296279,-0.01050654598155572,-0.30665949796192876,0.3069108888369775
16.8,-8.5,-0.0,-0.007755399243876758,-0.010182881658812882,-0.32251906173137507,0.3227729580934497
12.8,-8.5,-0.0,-0.007593567083233545,-0.011153874627573597,-0.33481831583791194,0.335090101018802
8.8,-8.5,-0.0,-0.008402727886889472,-0.011801203274302249,-0.3458229120489324,0.34612622081065475
4.8,-8.5,-0.0,-0.007593567083233545,-0.010344713820162143,-0.3519725395234949,0.3522063939562807
0.8,-8.5,-0.0,-0.008079063565295098,-0.009859217336247212,-0.35537101792069364,0.35559954416810685
-3.2,-8.5,-0.0,-0.00694623844109989,-0.010992042466002548,-0.3529435333471842,0.3531829737652283
-7.2,-8.5,-0.0,-0.006137077639419383,-0.009859217336247212,-0.34841222886447465,0.3486057215691485
-11.2,-8.5,-0.0,-0.006784406280676167,-0.009859217336247212,-0.3399969492977634,0.34020752176700997
-15.2,-8.5,-0.0,-0.005166084678846121,-0.009697385175030762,-0.32947785017701503,0.3296610099290019
-19.2,-8.5,-0.0,-0.005813413319053551,-0.007755399243876758,-0.3145892797440649,0.3147385532815127
-23.2,-8.5,-0.0,-0.003547763081377447,-0.008240895726070273,-0.2971113936357184,0.29724683213351216
-27.2,-8.5,-0.0,-0.0027386022842717864,-0.007593567083233545,-0.27688235999629135,0.27700000628273436
-31.2,-8.5,-0.0,-0.0029004344436062597,-0.006622574120296279,-0.2555205018351704,0.2556227647648734
-35.2,-8.5,-0.0,-0.0012821128522067446,-0.006784406280676167,-0.23254032259169777,0.2326428026245341
-39.2,-8.5,-0.0,-0.000149287740792153,-0.00435692387956798,-0.20842731922183058,0.20847290584275158
-43.2,-8.5,-0.0,1.2544417809443043e-05,-0.003709595240928676,-0.18253416299633662,0.1825718541149953
44.8,-4.5,-0.0,-0.003709595240928676,-0.006460741959960197,-0.17379522316527685,0.17395482712070134
40.8,-4.5,-0.0,-0.004195091719842952,-0.007755399243876758,-0.19823188874577102,0.19842788797869507
36.8,-4.5,-0.0,-0.004195091719842952,-0.00921188869164668,-0.22412504606401565,0.22435350222584519
32.8,-4.5,-0.0,-0.005004252518903353,-0.008888224369611468,-0.24872354725118376,0.248932613437712
28.8,-4.5,-0.0,-0.006137077639419383,-0.008888224369611468,-0.27170372758815364,0.2719183330334577
24.8,-4.5,-0.0,-0.005975245479214606,-0.00953555301385854,-0.29355108362225285,0.2937666914842727
20.8,-4.5,-0.0,-0.006784406280676167,-0.011315706789189072,-0.3110289695309411,0.3113086784466493
16.8,-4.5,-0.0,-0.008564560047752722,-0.010830210304475901,-0.3265648689476323,0.32685663336520343
12.8,-4.5,-0.0,-0.007755399243876758,-0.011639371112553377,-0.3404824461892801,0.34076959568066467
8.8,-4.5,-0.0,-0.007593567083233545,-0.009859217336247212,-0.3513252103095124,0.3515455444555571
4.8,-4.5,-0.0,-0.008240895726070273,-0.010992042466002548,-0.3569893409810663,0.35725358911288546
0.8,-4.5,-0.0,-0.0072699027620789225,-0.011153874627573597,-0.35990232251273113,0.36014850014325434
-3.2,-4.5,-0.0,-0.0072699027620789225,-0.011801203274302249,-0.35828399943592903,0.358552010364879
-7.2,-4.5,-0.0,-0.007108070601567468,-0.009859217336247212,-0.35456185639391996,0.35477012112586787
